Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,1326160,Duke Energy CORP,DUK,NYSE,.N,DUK.N
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,1326160,Duke Energy CORP,DUK-PA,NYSE,.N,DUK.N
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,1326160,Duke Energy CORP,DUKH,Nasdaq,.O,DUK.O
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,1326160,Duke Energy CORP,DUKB,NYSE,.N,DUK.N
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,927066,1979,927066,DAVITA INC.,DVA,NYSE,.N,DVA.N
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971,1090012,DEVON ENERGY CORP/DE,DVN,NYSE,.N,DVN.N
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,1093557,DEXCOM INC,DXCM,Nasdaq,.O,DXCM.O
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982,712515,ELECTRONIC ARTS INC.,EA,Nasdaq,.O,EA.O
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088,1995,1065088,EBAY INC,EBAY,Nasdaq,.O,EBAY.O
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,31462,ECOLAB INC.,ECL,NYSE,.N,ECL.N
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1047862,1823,1047862,CONSOLIDATED EDISON INC,ED,NYSE,.N,ED.N
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,33185,EQUIFAX INC,EFX,NYSE,.N,EFX.N
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,827052,EDISON INTERNATIONAL,EIX,NYSE,.N,EIX.N
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,1001250,1946,1001250,ESTEE LAUDER COMPANIES INC,EL,NYSE,.N,EL.N
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1946),1156039,"Elevance Health, Inc.",ELV,NYSE,.N,ELV.N
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920,915389,EASTMAN CHEMICAL CO,EMN,NYSE,.N,EMN.N
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,32604,EMERSON ELECTRIC CO,EMR,NYSE,.N,EMR.N
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,1463101,2006,1463101,"Enphase Energy, Inc.",ENPH,Nasdaq,.O,ENPH.O
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,821189,EOG RESOURCES INC,EOG,NYSE,.N,EOG.N
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993,1352010,"EPAM Systems, Inc.",EPAM,NYSE,.N,EPAM.N
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239,1998,1101239,EQUINIX INC,EQIX,Nasdaq,.O,EQIX.O
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,906107,EQUITY RESIDENTIAL,EQR,NYSE,.N,EQR.N
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,33213,EQT Corp,EQT,NYSE,.N,EQT.N
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",2009-07-24,72741,1966,72741,EVERSOURCE ENERGY,ES,NYSE,.N,ES.N
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,920522,1971,920522,"ESSEX PROPERTY TRUST, INC.",ESS,NYSE,.N,ESS.N
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1551182,1911,1551182,Eaton Corp plc,ETN,NYSE,.N,ETN.N
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,65984,ENTERGY CORP /DE/,ETR,NYSE,.N,ETR.N
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,1711269,"Evergy, Inc.",EVRG,Nasdaq,.O,EVRG.O
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,1099800,Edwards Lifesciences Corp,EW,NYSE,.N,EW.N
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,1109357,EXELON CORP,EXC,Nasdaq,.O,EXC.O
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,NYSE,.N,EXPD.N
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1324424,1996,1324424,"Expedia Group, Inc.",EXPE,Nasdaq,.O,EXPE.O
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,1289490,Extra Space Storage Inc.,EXR,NYSE,.N,EXR.N
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,37996,FORD MOTOR CO,F,NYSE,.N,F.N
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,37996,FORD MOTOR CO,F-PB,NYSE,.N,F.N
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,37996,FORD MOTOR CO,F-PC,NYSE,.N,F.N
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,37996,FORD MOTOR CO,F-PD,NYSE,.N,F.N
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,1539838,"Diamondback Energy, Inc.",FANG,Nasdaq,.O,FANG.O
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,815556,1967,815556,FASTENAL CO,FAST,Nasdaq,.O,FAST.O
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011-07-01,831259,1912,831259,FREEPORT-MCMORAN INC,FCX,NYSE,.N,FCX.N
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,1048911,FEDEX CORP,FDX,NYSE,.N,FDX.N
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997-11-28,1031296,1997,1031296,FIRSTENERGY CORP,FE,NYSE,.N,FE.N
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,1048695,"F5, INC.",FFIV,Nasdaq,.O,FFIV.O
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547,1956,814547,FAIR ISAAC CORP,FICO,NYSE,.N,FICO.N
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,1883,37785,FMC CORP,FMC,NYSE,.N,FMC.N
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,1754301,Fox Corp,FOXA,Nasdaq,.O,FOX.O
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,1754301,Fox Corp,FOX,Nasdaq,.O,FOX.O
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,1754301,Fox Corp,FOXA,Nasdaq,.O,FOXA.O
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,1754301,Fox Corp,FOX,Nasdaq,.O,FOXA.O
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,34903,FEDERAL REALTY INVESTMENT TRUST,FRT,NYSE,.N,FRT.N
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,34903,FEDERAL REALTY INVESTMENT TRUST,FRT-PC,NYSE,.N,FRT.N
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494,1999,1274494,"FIRST SOLAR, INC.",FSLR,Nasdaq,.O,FSLR.O
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000,1262039,"Fortinet, Inc.",FTNT,Nasdaq,.O,FTNT.O
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,1659166,2016,1659166,Fortive Corp,FTV,NYSE,.N,FTV.N
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899,40533,GENERAL DYNAMICS CORP,GD,NYSE,.N,GD.N
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",2024-06-24,1609711,1997,1609711,GoDaddy Inc.,GDDY,NYSE,.N,GDDY.N
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957-03-04,40545,1892,40545,GENERAL ELECTRIC CO,GE,NYSE,.N,GE.N
