Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
LRCX.O,LRCX.O,,,,,,,,,,,,,
LULU.O,LULU.O,,,,,,,,,,,,,
LUV.N,LUV.N,,,,,,,,,,,,,
LVS.N,LVS.N,,,,,,,,,,,,,
LW.N,LW.N,,,,,,,,,,,,,
LYB.N,LYB.N,,,,,,,,,,,,,
LYV.N,LYV.N,,,,,,,,,,,,,
MAA.N,MAA.N,,,,,,,,,,,,,
MAA.N,MAA.N,,,,,,,,,,,,,
MAR.O,MAR.O,,,,,,,,,,,,,
MAS.N,MAS.N,,,,,,,,,,,,,
MCD.N,MCD.N,,,,,,,,,,,,,
MCHP.O,MCHP.O,,,,,,,,,,,,,
MCHP.O,MCHP.O,,,,,,,,,,,,,
MCK.N,MCK.N,,,,,,,,,,,,,
MDLZ.O,MDLZ.O,,,,,,,,,,,,,
MDT.N,MDT.N,,,,,,,,,,,,,
META.O,META.O,,,,,,,,,,,,,
MGM.N,MGM.N,,,,,,,,,,,,,
MHK.N,MHK.N,,,,,,,,,,,,,
MKC.N,MKC.N,,,,,,,,,,,,,
MKC.N,MKC.N,,,,,,,,,,,,,
MLM.N,MLM.N,,,,,,,,,,,,,
MMM.N,MMM.N,,,,,,,,,,,,,
MNST.O,MNST.O,,,,,,,,,,,,,
MO.N,MO.N,,,,,,,,,,,,,
MOH.N,MOH.N,,,,,,,,,,,,,
MOS.N,MOS.N,,,,,,,,,,,,,
MPC.N,MPC.N,,,,,,,,,,,,,
MPWR.O,MPWR.O,,,,,,,,,,,,,
MRK.N,MRK.N,,,,,,,,,,,,,
MRNA.O,MRNA.O,,,,,,,,,,,,,
MSFT.O,MSFT.O,,,,,,,,,,,,,
MSI.N,MSI.N,,,,,,,,,,,,,
MTCH.O,MTCH.O,,,,,,,,,,,,,
MTD.N,MTD.N,,,,,,,,,,,,,
MU.O,MU.O,,,,,,,,,,,,,
NCLH.N,NCLH.N,,,,,,,,,,,,,
NDSN.O,NDSN.O,,,,,,,,,,,,,
NEE.N,NEE.N,,,,,,,,,,,,,
NEE.N,NEE.N,,,,,,,,,,,,,
NEE.N,NEE.N,,,,,,,,,,,,,
NEE.N,NEE.N,,,,,,,,,,,,,
NEE.N,NEE.N,,,,,,,,,,,,,
NEM.N,NEM.N,,,,,,,,,,,,,
NEM.PK,,,,,,,,,,,,,,
NFLX.O,NFLX.O,,,,,,,,,,,,,
NI.N,NI.N,,,,,,,,,,,,,
NKE.N,NKE.N,,,,,,,,,,,,,
NOC.N,NOC.N,,,,,,,,,,,,,
NOW.N,NOW.N,,,,,,,,,,,,,
NRG.N,NRG.N,,,,,,,,,,,,,
NSC.N,NSC.N,,,,,,,,,,,,,
NTAP.O,NTAP.O,,,,,,,,,,,,,
NUE.N,NUE.N,,,,,,,,,,,,,
NVDA.O,NVDA.O,,,,,,,,,,,,,
NVR.N,NVR.N,,,,,,,,,,,,,
NWS.O,NWS.O,,,,,,,,,,,,,
NWS.O,NWS.O,,,,,,,,,,,,,
NWSA.O,NWSA.O,,,,,,,,,,,,,
NWSA.O,NWSA.O,,,,,,,,,,,,,
NXPI.O,NXPI.O,,,,,,,,,,,,,
O.N,O.N,,,,,,,,,,,,,
ODFL.O,ODFL.O,,,,,,,,,,,,,
OKE.N,OKE.N,,,,,,,,,,,,,
OMC.N,OMC.N,,,,,,,,,,,,,
ON.O,ON.O,,,,,,,,,,,,,
ORCL.N,ORCL.N,,,,,,,,,,,,,
ORLY.O,ORLY.O,,,,,,,,,,,,,
OTIS.N,OTIS.N,,,,,,,,,,,,,
OXY.N,OXY.N,,,,,,,,,,,,,
OXY.N,OXY.N,,,,,,,,,,,,,
PANW.O,PANW.O,,,,,,,,,,,,,
PARA.O,PARA.O,,,,,,,,,,,,,
PARA.O,PARA.O,,,,,,,,,,,,,
PAYC.N,PAYC.N,,,,,,,,,,,,,
PAYX.O,PAYX.O,,,,,,,,,,,,,
PCAR.O,,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
